subject_ID,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Caudate,Left-Putamen,Left-Pallidum,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Left-VentralDC,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior
CNBD_00002,13706.1,50274.2,7559.5,3314.4,4922.1,1671.2,17953.4,4179.7,1491.3,540.5,4438.4,12206.6,50637.1,7051.7,3073.2,4775.7,1788.9,4665.4,1616.8,543.6,4507.5,171.7,980.2,596.9,536.1,593.1,723.0
CNBD_00003,11981.9,51047.5,8563.6,3525.5,5072.9,1633.4,17662.2,4247.6,1446.9,477.8,4157.3,10890.8,49265.1,8300.6,3617.4,5450.0,1679.0,4547.6,1532.5,539.9,4110.4,164.4,933.5,484.4,846.0,801.2,721.8
CNBD_00007,21259.1,62010.0,9594.8,3376.6,5125.7,2386.0,22903.6,4604.2,1595.9,337.6,4664.7,15460.4,66752.9,8900.2,3675.2,5359.7,2200.1,5309.1,1962.3,477.6,4506.6,230.9,1027.7,719.3,934.6,733.0,814.4
CNBD_00008,21745.4,54823.7,8708.1,4503.2,6281.9,2259.7,22801.7,4925.7,1868.9,518.3,4545.0,14594.2,60529.8,8831.0,4683.7,6067.4,2340.2,4844.0,2043.8,528.6,4410.0,206.3,1092.9,311.0,360.5,436.5,704.3
CNBD_00009,17233.3,57743.1,9288.5,3706.9,5902.9,2511.3,21597.8,4795.1,1779.5,477.0,4783.4,15448.4,56257.2,9429.8,3798.9,5894.9,2396.9,4833.7,1773.5,428.9,4442.5,186.0,1144.2,424.0,430.6,583.0,889.6
CNBD_00010,13944.5,48240.2,8097.9,3150.5,4464.3,1688.5,19588.6,3826.1,1313.3,450.1,4017.7,13019.4,48332.7,7749.9,2993.5,4624.6,1770.3,4234.7,1637.6,487.2,3901.8,121.7,814.7,493.2,650.9,545.0,663.0
CNBD_00012,14776.9,46213.6,8011.8,3032.2,5091.0,1936.5,18942.1,4067.0,1446.0,346.3,4087.6,14622.4,48722.9,8019.7,3491.1,4785.7,1906.0,4371.1,1610.1,524.1,4145.6,201.6,836.7,464.4,461.7,445.8,676.5
CNBD_00013,16552.7,57922.7,8563.3,3329.8,4901.6,1977.0,20962.9,3743.5,1465.5,317.9,4250.2,15772.9,59800.9,7917.7,3220.2,4895.9,2081.0,3734.3,1550.2,409.2,4064.2,155.4,1083.5,395.3,445.1,482.8,861.4
CNBD_00018,12124.1,52103.1,8138.1,3063.2,3680.1,1945.8,17238.0,4245.8,1574.8,390.2,3750.4,11247.0,51385.7,8000.7,3127.7,4375.3,1674.6,4410.4,1679.4,493.5,3752.7,80.2,770.5,437.0,666.8,584.6,684.4
CNBD_00020,14134.5,46803.6,7628.0,3322.9,4844.2,2156.8,19736.3,4059.5,1591.9,386.2,4350.8,12563.8,47747.5,7681.9,3310.7,4915.9,2041.0,4159.6,1839.0,365.7,4039.9,145.6,947.4,636.1,763.6,767.9,800.4
