subject_ID,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,fusiform,inferiorparietal,inferiortemporal,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,parahippocampal,paracentral,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,transversetemporal,insula
CNBD_00002,1937,7693,4894,1356,6989,10597,9794,2052,12269,7890,5635,4782,12584,1765,4381,3796,1883,3490,1725,10560,2200,13567,9724,3564,11991,25764,11325,16035,11654,1150,6138
CNBD_00003,2368,5700,3810,1210,6518,11898,7462,2563,14023,7192,5764,5636,11889,1844,3899,4307,2326,3725,1701,10506,3038,11873,9943,3022,10495,25790,10133,15896,9997,1018,6136
CNBD_00007,2964,7544,4335,1474,9462,14517,13110,2777,12927,9797,8261,6396,16742,2109,3759,5798,2528,5913,3094,12307,3290,14311,11149,4296,13081,26342,12647,16292,12571,1111,7174
CNBD_00008,3317,7284,5149,2085,10340,14705,13917,2802,15257,10263,7241,5732,17294,2069,4377,4517,2215,4948,2688,13457,4021,14552,11328,4563,12997,26289,10281,19962,13055,1635,7437
CNBD_00009,2137,6396,5545,2510,7371,13756,12863,2489,13707,9836,7220,5548,15198,2183,4137,4036,2325,5537,2308,10766,2286,13380,9449,3221,11976,23443,11328,17294,10289,1379,7046
CNBD_00010,2203,6062,3707,1453,6323,11279,10068,1720,11935,7149,5234,3819,10228,1828,3194,3521,1646,3035,1839,10488,2753,10883,7954,2762,8375,21736,8743,14490,7937,1217,5250
CNBD_00012,3360,6686,3921,1946,8329,15621,17321,2865,13254,10721,5873,5935,18173,1753,4736,6169,2176,6168,2030,11543,3569,13574,10946,4313,14163,27320,12404,17341,11371,1175,6030
CNBD_00013,3087,7105,4097,1338,8775,14735,15141,2430,12155,10073,5875,5600,16809,1980,3166,4403,2372,5074,1410,10631,3508,14653,9578,3981,14802,21537,11773,15753,11403,1069,6469
CNBD_00018,3126,7256,3968,1572,6894,13017,12048,2153,11693,9034,5311,4857,16156,1687,4053,3833,2381,4552,1657,9279,3534,13149,8959,4002,13198,24198,11412,18124,10087,853,5670
CNBD_00020,2219,6910,3567,1584,6511,11625,10850,1797,8915,6937,5830,4385,11003,1932,3836,3795,1531,4065,1520,8112,2576,10335,8468,2332,10428,20702,10036,13768,9233,816,4753
CNBD_00021,2647,6021,4350,1761,9081,12428,12183,2581,11449,8288,6295,4621,13989,2231,3968,3558,2031,4172,1930,11711,3069,12513,9709,3398,10252,22490,10175,16919,12230,1384,5986
CNBD_00022,2810,6516,4128,2308,10218,13854,14085,3150,12724,9926,5739,5761,15781,2341,4448,4129,2167,4828,1690,10776,3053,14606,9536,3218,14944,25750,11980,18796,10960,1294,6917
CNBD_00023,2566,6070,4241,1762,9460,15691,12517,2268,13326,9224,6416,4997,14273,1879,4466,3677,2123,3871,1823,10718,2928,13199,8702,3798,11268,26886,10589,17939,9030,1109,5816
CNBD_00024,2896,6609,4705,2270,7707,13109,15643,1974,10268,8817,6772,5068,15518,2276,4608,4141,2250,3183,2458,11258,3025,12858,10000,3127,10538,24498,11983,16302,13111,866,6095
CNBD_00025,3193,6605,5103,3066,10582,15666,12009,2735,15340,9142,7939,5384,17586,2317,3911,5514,2109,4644,2358,12139,3453,11970,11174,3563,12518,22791,10216,20661,8725,1196,6097
CNBD_00027,3832,6526,3876,1720,9547,15508,15116,1985,14168,9243,7014,5996,16515,2406,4044,3939,2385,5486,2059,13771,4285,13653,9037,3391,11931,28386,12348,19611,13327,1320,6401
CNBD_00028,2349,4474,3951,1215,7423,12005,10602,2451,10790,8239,5752,4501,13289,1795,3565,3898,1947,3896,1628,9153,2582,10520,8297,3098,10929,23665,9982,15562,8425,841,5378
CNBD_00030,3463,9080,4856,1627,9385,15041,15998,2900,15294,11175,6590,5360,19978,1905,4788,4368,2779,4559,1871,13910,3951,15297,11732,4914,15876,32899,12768,22055,13553,1605,7352
CNBD_00031,3004,5851,3596,1023,6029,10569,10923,1983,10562,8297,5750,4663,14402,1688,3490,4193,1501,5021,1294,9519,3400,10567,7776,3482,13616,24381,10310,16882,6891,1171,5125
CNBD_00032,2298,6211,3928,1678,8070,12838,10984,2222,11234,8184,8442,4627,15388,1634,3805,3975,2150,4392,2405,10967,2500,12147,8977,2999,10546,20073,11084,16251,8970,1228,5990
CNBD_00033,2812,8832,5224,1656,13284,18151,16947,3267,14087,11607,7807,6597,20632,2172,4853,5601,2483,4138,2145,13007,2549,15533,12363,4183,14931,31968,12726,20618,14594,835,8021
