subject_ID,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,fusiform,inferiorparietal,inferiortemporal,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,parahippocampal,paracentral,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,transversetemporal,insula
CNBD_00002,672,2383,2247,302,2649,3765,2536,778,4574,2455,2875,1514,3515,722,1703,1215,589,1230,1288,4551,841,4802,3822,1079,3603,7379,4354,5071,3923,504,1734
CNBD_00003,764,1936,1613,297,2218,3514,1961,854,3886,1930,2733,1255,3198,561,1477,1278,475,1152,1024,4048,981,4660,3452,736,2830,6371,3458,4420,3167,359,1513
CNBD_00007,1022,2761,2302,358,3333,5508,3840,1217,6193,2829,4052,1839,5279,670,1523,2052,808,2244,2034,5451,1288,5574,4442,1299,4475,8298,5142,5562,4618,485,2301
CNBD_00008,1196,2846,2579,476,3436,5156,3678,1188,6002,3252,3709,1822,5032,714,1782,1493,725,1772,1962,6018,1568,5501,4477,1428,4219,8410,4116,6472,4742,588,2143
CNBD_00009,772,2196,2655,535,2707,4847,3721,1042,5764,3199,3752,1889,4650,718,1571,1434,729,1834,1801,4605,942,5055,3743,1103,3994,7158,4519,5141,3757,509,2193
CNBD_00010,803,2354,2011,410,2295,4138,2899,723,5255,2667,2907,1420,3510,611,1266,1265,578,1169,1414,4754,1084,4430,3109,942,3136,7122,3601,4780,2986,491,1791
CNBD_00012,1164,2352,2031,360,3169,5520,4673,1130,5630,3417,3106,1878,5624,681,1896,2029,745,2387,1471,5150,1287,5319,4166,1369,5160,8674,5012,5632,4444,429,1995
CNBD_00013,1153,2496,2117,312,3025,5271,3878,1008,5116,2980,2806,1592,5075,650,1275,1361,669,1781,1117,5084,1369,5280,3786,1136,4579,6808,4952,5155,4115,482,1931
CNBD_00018,1131,2505,1968,355,2546,4737,3588,922,4887,2825,2817,1654,4751,600,1767,1300,745,1672,1386,4313,1428,4895,3555,1333,4464,7448,4410,5565,3566,399,1887
CNBD_00020,789,2132,1676,373,2447,4079,3118,653,3768,2334,2909,1350,3514,841,1326,1285,528,1334,1191,3759,972,4286,3137,773,3450,5971,4176,4194,3282,364,1452
CNBD_00021,911,2044,2011,404,2973,4481,3416,964,4830,2714,2792,1589,4358,706,1406,1272,651,1407,1226,4692,1194,4862,3666,1069,3534,7096,3929,5191,4313,519,2060
CNBD_00022,945,2266,2175,479,3231,4893,3479,1197,5361,3243,2974,1835,4436,744,1571,1310,696,1694,1323,4667,1123,5374,3633,1061,4966,8280,4726,5801,3780,554,2147
CNBD_00023,908,2088,2112,335,3092,5938,3639,933,5790,2975,3195,1623,4573,572,1652,1202,645,1406,1158,4653,1126,5065,3298,1148,3900,7997,4416,5329,3177,446,1795
CNBD_00024,1125,2573,2418,551,3055,5219,4630,917,4795,3175,3326,1883,4893,760,1903,1426,760,1296,1792,5111,1293,5490,4220,1148,3872,8330,5148,5514,4985,411,2215
CNBD_00025,1164,2353,2774,563,3606,5712,3450,1041,6374,3045,4098,1800,5220,721,1623,1836,595,1760,1910,5417,1331,5036,4448,1279,4359,7334,4425,6120,3301,494,1891
CNBD_00027,1436,2510,2161,362,3459,6208,4495,936,5490,3175,3526,1897,5739,798,1818,1468,859,1936,1565,6082,1710,5779,3993,1199,4251,9189,5330,6305,5000,568,2223
CNBD_00028,779,1873,1873,311,2600,4122,3064,959,4678,3062,2807,1588,4132,562,1355,1446,639,1332,1367,4062,1132,4423,3185,951,3850,7459,4148,4689,3072,386,1755
CNBD_00030,1222,3281,2513,386,3079,5439,4252,1139,5880,3561,3227,1828,5837,753,1982,1444,824,1716,1489,5383,1493,6175,4412,1577,5475,10186,4807,6383,4643,609,2099
CNBD_00031,958,2049,1995,245,2200,5088,3300,861,5215,2712,3079,1623,4561,489,1698,1293,647,1886,1174,4679,1256,4177,3461,1044,4433,6905,4449,5033,2749,471,1623
CNBD_00032,921,2170,1971,311,2593,4664,2846,963,4510,2668,3715,1600,4534,617,1515,1418,675,1630,1350,4470,1081,4616,3611,1038,3748,6393,4544,4612,3349,455,1894
CNBD_00033,983,2928,2530,421,3911,6141,4354,1186,5755,3516,3849,1816,5865,844,1948,1783,746,1505,1634,5609,905,6424,4598,1384,4835,9200,4929,5583,5193,363,2247
CNBD_00038,1339,3300,1945,487,3363,7898,4479,1074,6547,3771,3171,2113,6106,736,1950,1618,877,1997,1205,5808,1524,6342,4914,1558,5817,9719,5934,7685,5534,517,2192
CNBD_00040,1147,2949,2325,223,3245,5600,4620,1191,5623,3028,4453,1708,5697,883,1782,1441,746,1392,1932,5307,1373,5790,4513,1238,4514,8695,4576,6132,4851,509,2130
CNBD_00043,1007,2119,2186,326,3039,3752,3455,811,4644,2469,2740,1563,4430,661,1394,1415,549,1677,1330,4857,1118,5173,3689,1420,3443,7691,4427,5355,4650,452,1995
CNBD_00044,892,1743,2359,370,2621,4492,3076,766,4984,3089,3354,1518,4119,636,1388,1202,661,1500,1357,3953,1071,4543,2810,916,4024,6987,3809,4647,2816,405,1773
CNBD_00047,1040,2784,2424,469,2679,4490,4736,1046,5391,3667,2776,1815,4826,570,1745,1507,769,1456,1509,4732,1375,5790,3812,1364,4451,8707,4341,5584,3783,541,2064
CNBD_00048,1299,3149,2396,483,3072,5410,4105,1108,5413,3865,3232,2097,4507,709,1843,2174,699,1789,1639,5429,1611,5558,4502,1631,5264,8665,4512,6233,3906,560,2268
CNBD_00051,1055,1892,1715,307,2670,4341,3129,767,4438,2609,2683,1538,4070,818,1491,1453,722,1519,1158,4493,1114,4764,3408,1086,3504,7461,4046,4905,3813,440,1844
CNBD_00052,853,1801,2360,446,3136,5436,3744,1013,6445,3223,2725,1693,4872,682,1628,1789,734,1825,1183,4438,1162,5101,3448,1024,3670,8220,3612,5579,2605,455,2161
CNBD_00054,1218,3038,2477,423,3851,5709,4474,1027,6648,3147,3748,1745,5493,772,1808,1617,782,1996,1684,5004,1570,5556,4443,1418,4574,8555,5005,6211,3764,482,2141
CNBD_00055,905,1942,1992,296,2178,4070,2726,976,4577,2251,2737,1367,4092,622,1212,1224,542,1255,1254,4336,1078,4433,3049,997,3389,6561,4303,4810,3147,447,1693
CNBD_00056,1256,2935,2433,527,3270,5582,3343,1072,5794,3195,2583,1946,5431,718,1875,1622,687,1910,1298,4478,1305,5804,4387,1377,5086,8844,5387,6559,3950,619,2021
CNBD_00059,1159,2011,1853,360,2748,4461,3034,1061,4387,2686,2471,1514,3544,703,1660,1115,499,1206,1115,3965,1341,4648,3698,1132,3886,6506,3814,4958,3057,473,1932
CNBD_00065,1087,2057,1884,390,2764,4576,2792,857,4684,2752,3032,1607,3627,623,1437,1303,669,1704,1413,4051,1233,4584,3943,1116,4090,7257,4800,5103,4039,517,1820
CNBD_00066,1089,3268,2463,354,2600,7050,4441,1103,5104,3152,3445,1860,5662,697,1803,1897,746,1601,1656,5376,1259,6457,4935,1173,4852,9093,5557,6051,5387,481,2368
CNBD_00067,961,1990,2023,330,3091,4375,3459,897,5364,3143,3045,1561,4384,690,1435,1296,704,1571,1445,4625,1273,4105,3480,925,4451,6961,4995,5279,3409,427,1801
CNBD_00070,1008,2661,2158,418,2911,4600,3255,1086,5319,3092,3420,1746,3864,637,1708,1361,680,1590,1919,5230,1330,4687,3707,1122,3520,7988,4562,4730,3663,384,1596
CNBD_00071,966,2612,1438,412,2732,4262,4244,981,3846,2901,2558,1637,4316,705,1549,1181,636,1524,917,4807,1146,4898,3086,1177,3342,6742,4211,4634,4144,368,1847
CNBD_00072,832,2076,1868,398,2386,3484,3608,990,4578,2809,2469,1540,3911,571,1522,1475,662,1724,1179,4366,1102,4436,3450,943,3791,6572,4032,4653,3153,390,1775
