subject_ID,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,fusiform,inferiorparietal,inferiortemporal,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,parahippocampal,paracentral,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,transversetemporal,insula
CNBD_00002,713,2328,2223,340,2496,4332,2125,954,4727,2406,3160,1377,3346,633,1518,1751,486,1198,1539,4425,1235,4870,3895,792,3429,8169,4072,4966,3453,356,1987
CNBD_00003,512,1648,2104,309,2661,4064,2476,807,4426,2117,2872,1162,2861,549,1410,1408,497,1278,1481,4339,913,4120,4187,627,3026,7022,3727,3905,3119,326,1830
CNBD_00007,773,2480,2299,448,2822,6457,4194,1109,6285,2996,4540,1623,4680,743,1606,1975,745,1742,2328,5071,1373,5537,3892,979,4332,10448,4437,5390,3874,403,2380
CNBD_00008,735,2285,2471,460,3645,6271,3459,889,6453,3415,3839,1629,4639,775,1701,2029,732,1806,1900,5499,1144,5852,4924,818,4421,9437,4259,5906,3980,400,2368
CNBD_00009,712,2072,2382,413,2551,5837,3817,1118,5759,3306,4008,1723,4134,605,1442,1670,778,1644,2085,4476,1184,4570,4198,779,3322,8125,4571,4657,3690,363,2287
CNBD_00010,624,2131,1787,319,2245,4345,3654,883,4785,2619,3023,1546,3557,532,1355,1479,608,1264,1601,3849,1011,4314,3483,762,3151,7389,4255,4235,3161,336,1878
CNBD_00012,1057,2782,2016,302,3090,5697,4357,913,5262,3245,3312,1708,5131,605,2014,1612,853,1638,1631,4826,1632,5662,3842,1051,4358,9784,4322,5259,4404,353,2078
CNBD_00013,828,2129,1831,269,2783,6165,3997,890,4712,2962,2777,1515,5014,669,1394,1441,658,1627,1405,4770,1319,5221,4004,909,4611,8289,4484,5220,3799,378,1979
CNBD_00018,761,2351,1841,288,2230,5425,3262,833,5006,3055,2659,1467,4630,593,1651,1491,807,1353,1304,3807,1202,4643,3658,764,3947,9179,4271,5406,3150,354,1873
CNBD_00020,563,2278,1606,260,2182,4826,2979,714,4540,2388,2574,1304,3593,855,1623,1440,505,1261,1288,3526,983,4533,3619,648,3131,7077,4178,3921,3231,277,1581
