subject_ID,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,fusiform,inferiorparietal,inferiortemporal,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,parahippocampal,paracentral,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,transversetemporal,insula
CNBD_00002,1923,6800,4648,1580,7781,12677,7417,2351,12207,7579,6505,4368,12746,1700,3847,4693,1475,3806,1954,10079,3114,13357,9936,2480,11081,27289,11324,16484,9833,882,6471
CNBD_00003,1656,4715,4382,1474,6935,12967,8876,2143,13933,7405,6059,5021,10420,1588,3489,3735,1856,4289,2571,11018,2567,10911,10926,2443,10984,27901,10832,14332,8769,873,5661
CNBD_00007,2269,7642,4735,1932,9189,17073,13697,2809,14687,10379,9792,5435,15115,2215,4538,5592,2525,4833,3640,11261,3611,15075,9879,3335,12098,32654,10923,16805,10347,908,7152
CNBD_00008,2078,6298,5351,2034,10742,17692,12650,2248,18069,11135,7438,5375,15540,1970,4097,5526,2719,5322,2584,13351,3388,15884,12542,2674,13053,28754,10595,19650,10613,1148,7399
CNBD_00009,2039,6361,4898,1674,7739,15616,14261,2757,13322,9840,8960,4854,13258,1886,3910,4634,2845,4652,2992,9567,3235,12867,10554,2271,9436,25607,11197,16654,9941,984,7049
CNBD_00010,1791,5715,3386,1610,6228,12260,12046,2174,10252,7355,5638,4235,11821,1370,2963,3748,1919,3276,2083,8148,2844,10421,8696,2366,8543,21953,10200,13691,8329,873,5491
CNBD_00012,3087,7954,3823,1639,8936,16504,16000,2438,13594,10531,6811,5575,17291,1790,5326,4639,2212,4461,2503,11170,4355,14933,9827,3397,12189,30349,10942,16898,11991,982,6286
CNBD_00013,2463,6148,3804,1367,7936,16508,14240,2224,11084,9821,6312,5350,16509,1743,3590,4256,2098,4998,1897,10076,3340,14316,10153,2970,14309,26508,10542,17154,10257,941,6771
CNBD_00018,2281,7062,3543,1479,6534,15147,11925,2077,11885,8747,5412,4316,15180,1564,3911,4501,2493,3460,1547,8325,2978,11902,9440,2515,11313,29365,10916,18284,8356,810,5867
CNBD_00020,1625,6355,3044,1250,6164,13738,11120,1880,10475,7300,5350,3921,12013,2158,3622,4261,1811,3902,1573,7341,2700,10860,8869,2137,9306,23003,10041,13685,8264,685,4947
CNBD_00021,2115,5288,4345,1596,8319,15273,11704,2102,11102,8464,6667,4043,14541,2251,4404,4043,2586,3703,2143,11586,3394,12277,10077,2099,11058,24881,10343,15116,10282,1128,5899
CNBD_00022,2578,6430,4378,1938,8414,14077,14850,2591,13217,9736,5694,5001,16250,2178,4195,3349,1911,4385,2009,12324,3657,13048,11115,2617,14794,29637,9977,17539,11002,955,7061
CNBD_00023,2026,4872,3966,1578,7405,16791,11267,1863,13361,9457,6788,5635,15326,1607,4148,5101,2842,3485,2400,10500,3366,12022,9315,1789,10882,29383,10743,17445,8665,835,6194
CNBD_00024,2803,5542,4412,2048,8277,13253,13849,2289,13825,8992,8038,4641,15778,1674,3166,4036,1996,3952,2947,10789,2921,12979,10682,2269,12048,25919,11233,16197,11622,746,6008
CNBD_00025,1900,6209,5200,2191,9100,22045,14900,2158,15645,8941,7858,4891,15575,2275,4255,5658,2411,3960,2523,8512,3245,13729,10912,2622,11637,26395,10991,19523,8924,850,6069
CNBD_00027,1866,7042,3883,2897,9935,16940,13623,2102,13565,9996,7624,5131,15251,2267,4512,4510,2264,4818,2567,13008,3324,14154,11729,3296,11813,30339,12827,16932,11719,875,6821
CNBD_00028,1942,5037,3432,1701,7670,10800,11210,2512,10537,8713,5490,4362,11745,1890,2986,4612,2315,4190,2028,9854,2921,9512,9097,2802,10493,22846,10593,14740,9139,803,5509
CNBD_00030,2015,9263,4886,1632,9906,20082,15723,2842,15073,10630,7885,5720,18359,1947,3752,5773,3106,5644,2170,12643,3678,15569,13644,2778,16783,33684,12756,19629,11647,1135,7598
CNBD_00031,2828,6852,3078,1488,6996,12740,14251,1631,11838,9854,4920,3901,14798,1819,3566,5035,2218,3228,1260,8486,4023,10258,9537,2731,11377,26983,9283,16022,9734,638,5528
CNBD_00032,2264,5474,3763,1432,7869,16369,12034,2515,12248,8110,8325,4280,12668,1823,3544,3841,2161,3954,2329,9231,3191,11771,9511,2250,9828,21937,9647,16456,8318,871,5837
