subject_ID,wm-lh-bankssts,wm-lh-caudalanteriorcingulate,wm-lh-caudalmiddlefrontal,wm-lh-cuneus,wm-lh-entorhinal,wm-lh-fusiform,wm-lh-inferiorparietal,wm-lh-inferiortemporal,wm-lh-isthmuscingulate,wm-lh-lateraloccipital,wm-lh-lateralorbitofrontal,wm-lh-lingual,wm-lh-medialorbitofrontal,wm-lh-middletemporal,wm-lh-parahippocampal,wm-lh-paracentral,wm-lh-parsopercularis,wm-lh-parsorbitalis,wm-lh-parstriangularis,wm-lh-pericalcarine,wm-lh-postcentral,wm-lh-posteriorcingulate,wm-lh-precentral,wm-lh-precuneus,wm-lh-rostralanteriorcingulate,wm-lh-rostralmiddlefrontal,wm-lh-superiorfrontal,wm-lh-superiorparietal,wm-lh-superiortemporal,wm-lh-supramarginal,wm-lh-frontalpole,wm-lh-temporalpole,wm-lh-transversetemporal,wm-lh-insula,wm-rh-bankssts,wm-rh-caudalanteriorcingulate,wm-rh-caudalmiddlefrontal,wm-rh-cuneus,wm-rh-entorhinal,wm-rh-fusiform,wm-rh-inferiorparietal,wm-rh-inferiortemporal,wm-rh-isthmuscingulate,wm-rh-lateraloccipital,wm-rh-lateralorbitofrontal,wm-rh-lingual,wm-rh-medialorbitofrontal,wm-rh-middletemporal,wm-rh-parahippocampal,wm-rh-paracentral,wm-rh-parsopercularis,wm-rh-parsorbitalis,wm-rh-parstriangularis,wm-rh-pericalcarine,wm-rh-postcentral,wm-rh-posteriorcingulate,wm-rh-precentral,wm-rh-precuneus,wm-rh-rostralanteriorcingulate,wm-rh-rostralmiddlefrontal,wm-rh-superiorfrontal,wm-rh-superiorparietal,wm-rh-superiortemporal,wm-rh-supramarginal,wm-rh-frontalpole,wm-rh-temporalpole,wm-rh-transversetemporal,wm-rh-insula,Left-UnsegmentedWhiteMatter,Right-UnsegmentedWhiteMatter
CNBD_00002,2401.1,1887.8,7730.7,3174.8,652.2,6997.8,9180.7,5888.5,3480.5,9918.7,6098.1,6055.1,4012.8,5518.7,1680.5,4380.2,3113.0,1004.0,2362.3,3231.6,7220.9,3168.4,14378.9,10410.9,2666.6,14010.9,18473.9,13242.3,9044.8,9951.7,393.4,687.1,803.2,9815.4,2641.2,2627.1,6636.0,3224.6,807.7,5982.0,10893.7,4229.0,3557.3,9990.8,5835.5,6930.6,3779.3,5909.1,1367.4,3984.2,4016.6,865.4,3100.5,3958.7,7692.2,4045.1,14199.3,11001.9,1781.9,12183.2,18565.4,11848.3,8129.0,8736.6,381.7,723.3,636.2,10862.9,34016.5,32253.2
CNBD_00003,2236.6,2041.8,5735.7,2080.4,494.2,5334.0,8885.2,4370.8,3491.1,8146.2,5325.5,4823.8,4072.0,4595.4,1229.5,3551.4,2920.3,936.7,2582.4,2926.6,6937.3,3906.2,14139.3,8371.0,1831.3,9784.0,16867.8,10778.6,6449.5,8078.0,263.5,620.5,1059.6,8489.2,1534.0,2193.7,4104.5,3141.9,575.7,6473.1,9344.5,5298.5,3183.9,9748.1,5170.4,5151.7,4280.1,4821.3,1256.4,4601.6,2543.4,1197.2,2895.1,3341.0,7144.6,3800.3,13463.9,10812.1,1842.5,11054.9,15577.1,10289.2,6145.2,8386.2,307.4,715.4,496.3,8409.0,30334.0,33284.7
CNBD_00007,3725.3,2417.2,7204.6,2879.0,889.7,7162.9,11511.0,8157.2,4544.6,11982.9,7376.3,6815.8,4603.5,7193.5,1806.9,3984.3,4537.2,1191.7,3933.2,4680.0,8564.3,4317.1,15246.4,10292.9,2972.9,13966.6,19375.3,13620.7,8232.3,11084.1,351.2,845.1,986.8,11126.8,2684.2,2893.4,7090.0,3200.0,1095.5,6210.2,13254.2,6920.5,4004.4,11738.9,7827.5,8551.0,4116.3,7555.4,1925.7,4577.1,3758.6,1610.7,3847.1,5852.2,8632.5,4632.4,15904.3,8820.6,2329.5,13028.7,22376.1,11366.6,8323.6,9290.7,484.2,734.7,613.3,10585.0,34007.3,32710.9
CNBD_00008,3614.6,2936.4,6269.4,3402.1,954.8,7135.5,10941.9,7832.2,4012.6,11397.8,7289.8,6504.6,4793.6,6299.5,1747.0,4767.4,3999.8,1235.2,3430.3,4971.1,10931.6,4956.7,15584.4,10510.4,3145.5,13986.1,18300.7,12588.3,10587.3,11093.5,351.3,1035.1,955.4,10942.6,2866.7,2558.5,5379.3,3113.0,1130.6,7211.6,13000.0,7389.1,3608.1,12476.8,7395.7,7151.9,4178.0,6574.5,1955.8,5352.5,4281.5,1480.1,3897.9,4105.7,9516.5,3967.1,16655.4,11136.9,2108.4,14202.6,18305.7,12225.8,9422.6,9690.4,452.8,844.0,654.0,11146.3,31778.2,30407.8
CNBD_00009,2999.8,1894.5,6517.6,3659.5,1061.2,6319.1,11548.2,8460.8,4054.6,12112.2,8052.7,7199.0,4312.9,5989.2,1659.3,3925.5,3830.8,1091.2,3546.1,4817.5,7550.0,3696.7,14098.8,9957.5,2239.6,12730.5,18060.8,13084.7,8751.7,9212.7,309.0,914.7,906.8,11641.3,2797.5,2364.9,5715.7,3577.5,1034.9,6507.7,12974.3,7374.7,4381.8,11607.9,8839.3,7722.8,4081.0,7183.7,1445.9,4725.9,3480.4,1454.7,3485.5,4855.5,7208.2,4202.4,14294.2,9999.8,1967.9,11842.6,17272.5,12557.2,7031.8,8993.7,395.9,1033.6,600.9,10615.9,34509.2,32888.0
CNBD_00010,2289.5,2251.8,6478.1,2983.1,1289.8,5512.0,9114.9,5063.1,2731.2,10477.2,6511.4,5182.2,3379.3,5098.9,1479.3,3030.7,2921.5,1036.5,2260.1,3829.0,7847.3,3739.2,13428.6,8140.5,2441.1,10839.4,15524.4,10741.3,7797.2,7964.6,228.9,795.4,783.0,8729.8,2094.1,2600.2,6012.3,2755.4,830.9,5522.2,8848.2,6786.5,3182.4,9731.5,6892.2,5742.0,3854.7,5647.7,1200.1,4304.7,2937.5,1034.5,2838.8,3799.6,6827.3,3465.0,13702.1,8379.1,1537.3,10252.8,14645.1,11657.1,6637.6,8050.6,324.1,867.6,455.9,8509.2,26355.6,27889.8
CNBD_00012,3734.3,2569.3,6394.6,2666.4,761.6,6916.5,11208.4,8393.5,4040.1,11374.8,7675.5,5061.4,4315.7,6657.4,1506.2,5096.4,4873.4,1101.7,3796.8,4003.8,7970.2,4330.8,15065.7,9490.7,2783.1,15678.9,20164.0,13855.2,8713.3,9980.0,308.9,648.0,827.8,9468.8,3775.2,3086.9,6984.4,3013.3,754.8,6828.8,11206.3,7274.8,3078.2,10432.2,7876.7,6452.2,4975.0,7981.6,1335.0,5020.0,3392.0,1210.9,3433.2,4117.7,8510.5,4880.1,15380.1,9959.9,2013.3,12839.7,19105.6,10639.2,7441.9,9781.5,481.9,727.9,692.3,9618.3,28944.8,28107.0
CNBD_00013,2842.6,2757.3,6568.6,2768.6,786.9,6697.8,10704.4,7390.4,3665.5,9864.7,6760.9,5249.4,3845.8,6177.4,1473.3,2960.3,3122.2,1055.0,2988.6,2531.2,7343.7,4459.9,14080.2,9418.5,2439.6,12360.9,14067.6,12698.9,7357.4,8904.8,325.3,670.9,829.9,9181.1,3700.9,2937.8,5423.5,2550.8,699.9,5985.4,12882.4,7108.8,3154.3,8561.1,6250.7,5308.5,3661.3,6495.9,1654.9,4066.8,3458.6,1167.2,3116.6,3039.3,7820.0,4388.3,14681.9,9134.5,1926.5,13210.8,15510.9,11064.7,7250.3,9132.0,398.6,675.2,639.4,9595.8,33180.9,32707.5
CNBD_00018,2817.7,3124.3,5962.4,2319.7,786.8,5131.2,9002.0,6480.8,3181.4,8705.1,6349.6,4436.9,3470.3,6369.0,1371.4,3784.8,3164.7,1004.8,2934.8,2929.6,5919.3,4320.9,12899.3,8271.4,3206.0,11600.0,15497.5,10246.5,7699.1,7227.8,298.5,718.5,833.3,9124.6,2862.4,2634.0,4655.0,2386.8,606.2,4736.8,10223.6,5192.0,2554.6,9383.3,6152.2,4661.9,3544.1,6819.1,1378.3,4465.2,2669.5,1212.8,3083.2,2579.7,5591.3,4258.2,13556.7,7698.4,1663.1,10894.8,17054.5,9332.0,6859.7,7218.6,333.7,941.2,674.7,9279.7,20404.6,20012.3
CNBD_00020,2770.6,1699.2,6316.5,2060.3,775.4,6280.2,8605.5,5884.0,2775.4,7332.1,5607.9,4727.3,3541.1,4324.5,1666.0,3866.3,3232.8,765.8,2201.0,2859.5,5769.1,3792.9,12958.7,8202.8,1634.0,10962.4,15129.5,12060.6,5809.8,7320.2,276.9,668.4,1016.9,7051.9,2113.9,2185.0,6459.2,1999.9,631.7,5335.1,10612.9,5382.6,3059.1,9572.8,5988.2,4920.5,3337.9,5232.2,1955.2,5565.0,3122.5,919.6,2834.9,2814.2,5660.3,3585.5,14517.2,8288.0,1442.7,10006.4,14818.0,11318.0,4943.3,8010.1,298.5,701.1,646.6,7613.2,28025.0,28738.4
CNBD_00021,3021.3,2201.2,5933.3,2578.5,1116.0,6656.7,9560.6,7130.8,3510.4,8546.4,6769.3,5056.9,3402.0,5721.5,1589.8,3944.5,2914.9,1099.9,3171.8,3169.3,7408.7,3837.4,13681.0,9100.4,2820.9,11406.8,16721.5,11264.1,8253.2,10892.5,236.4,635.5,773.8,9407.7,2828.8,2589.8,5394.0,2679.8,797.1,6363.5,11601.7,6482.1,3429.7,9327.2,6564.3,6247.3,3508.8,6323.1,1727.8,5189.9,2578.7,1325.3,3291.3,2976.3,8139.1,4281.6,14893.5,8900.2,1537.1,11467.4,15827.4,11863.7,6626.8,8749.1,287.8,769.9,611.2,9328.5,32669.2,32864.0
CNBD_00022,2732.8,2249.0,6504.5,2975.7,1319.1,6497.5,10405.2,7269.0,4265.8,10419.2,7634.2,5273.2,4398.2,6383.1,1854.8,4176.3,3352.2,1128.0,2897.9,2835.4,7402.6,4205.1,15808.9,9283.3,2802.0,15678.4,19387.4,13188.6,8966.5,9332.5,287.7,899.7,759.2,9990.4,2710.1,2716.6,6803.9,3095.4,1092.9,6425.8,9482.1,6699.5,3635.4,10110.7,8027.6,5247.9,4298.8,7901.5,1867.0,4916.1,3073.3,1354.9,3096.4,3215.5,8364.7,4824.9,13488.0,10772.3,1781.3,15784.9,19158.0,11550.2,7456.1,9467.3,485.5,903.1,865.1,10070.7,38297.1,36647.3
CNBD_00023,3438.8,2322.8,5436.3,2784.2,760.2,6378.4,11781.0,6869.2,3454.8,10451.6,6190.2,5742.6,3428.3,5750.2,1299.6,4141.1,2646.0,1003.2,2815.5,2620.4,6808.6,3986.9,13122.7,7520.3,2784.4,11488.9,17053.7,11274.9,7004.7,7097.6,329.1,710.5,1093.7,9143.3,2585.8,2238.0,4035.7,2450.0,908.8,5658.3,12412.6,5300.1,2744.6,9788.0,6977.4,5900.6,4271.5,6897.8,1204.5,4609.0,2574.1,1531.2,3039.5,3124.4,7220.6,4030.2,12874.4,7831.2,1736.3,12688.2,15881.9,10733.3,6681.1,6462.4,390.9,773.2,706.2,8783.7,27604.6,28658.4
CNBD_00024,2838.8,2802.8,7372.3,3094.6,1446.1,8028.7,11729.8,9042.4,3847.1,10144.7,7991.3,6325.1,4594.4,6886.4,1859.0,5123.7,3647.2,1088.1,3028.3,5255.5,8931.4,4430.7,16723.7,11495.5,2386.8,12429.0,22123.5,15448.7,8980.9,12973.1,357.3,1115.5,984.4,11161.6,2649.2,3348.3,6943.7,3548.1,1082.5,7741.5,13732.6,8419.2,3633.6,12233.5,8133.1,8757.2,4360.1,7367.4,1518.7,5359.1,3991.4,1345.4,4107.7,5771.6,9048.8,4001.8,16901.8,12219.0,2161.6,14108.4,19308.7,13285.7,8751.4,11700.9,444.4,1004.5,604.8,10194.6,35893.2,33974.3
CNBD_00025,4038.7,2596.8,6489.8,3830.1,1091.3,8299.5,13036.6,7614.0,4026.9,12944.5,7094.8,6964.3,4195.6,7204.8,1633.8,4460.3,4871.0,944.6,3276.5,5069.3,9285.0,4801.5,15179.5,12027.9,3181.4,14629.9,18228.3,12764.2,9009.6,9001.7,344.7,802.3,920.0,9715.0,4026.5,2598.8,6462.3,3577.5,1123.5,7960.1,18650.2,7267.5,3316.4,11353.6,7612.8,7898.1,4532.9,7635.1,1832.4,5931.9,4232.4,1266.3,3791.1,5781.3,7550.9,4200.9,16839.0,11422.0,1815.9,12965.5,19045.4,12259.2,7246.6,7343.8,434.2,700.0,640.8,9609.9,38926.8,38886.7
CNBD_00027,3123.1,3876.3,7025.7,2489.9,912.1,8481.0,14673.7,7706.8,3443.8,10263.3,7793.2,6386.5,5079.1,8150.0,1913.8,4751.8,3843.5,1373.1,3656.0,3455.1,9701.2,5693.1,16086.8,9553.8,2686.4,13996.6,20795.5,13781.5,10127.4,12403.3,397.8,742.8,892.3,10652.1,3762.8,3109.3,6466.9,2712.2,1210.0,8114.0,12653.0,7799.1,3531.2,10804.4,8193.9,6521.0,4758.0,7203.1,1913.3,5528.9,3231.8,1549.8,3989.3,3232.8,8865.4,4633.3,16596.7,12016.3,1974.0,13534.9,21092.8,14199.9,7638.1,10987.4,433.0,894.5,726.1,10366.3,35758.8,34682.5
CNBD_00028,3278.3,2183.0,6127.4,2516.1,834.5,5775.3,8611.8,5675.0,3550.9,8921.4,6770.2,5055.7,2994.6,4495.0,1259.1,3513.0,3049.9,898.4,2702.8,3139.0,6669.7,3613.7,13131.8,7340.8,2880.2,11780.2,16725.5,11731.6,6500.7,6993.4,267.3,634.7,793.2,9197.1,2389.3,2730.3,4780.7,2475.5,854.9,5923.3,7931.9,5540.8,3425.4,8294.9,7246.6,5421.2,3231.6,5408.5,1546.5,4280.1,3480.8,1124.7,3700.6,2975.4,7356.0,3754.8,12712.4,8022.7,1847.1,13803.9,14058.0,12314.7,6057.4,8288.2,382.2,573.8,588.2,8148.2,28004.5,27078.9
